,Country_Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
42,Cameroon,11840192296.3893,12071775335.0433,16181814712.5295,8902446252.18372,10864772470.9043,11093538846.4483,10789458432.6416,11298144990.4104,11565826464.8921,10566579294.9831,10953485349.1135,12417251332.5885,15970315034.9903,18826214135.6419,19509852206.9341,20910512974.933,23928250433.0378,27715142032.913,27932970317.129,27507501821.0296,30630910495.217,30155062329.2821,33728621180.3231,36386544706.0806,32210233020.4569,33814337044.3765,36098547033.1655,39973842087.2242,39670976452.5283,40773241177.0505,44993521774.066,43644068310.851
43,"Congo, Dem. Rep.",,8850000000.0,10768000000.0,5820475672.05427,5643416613.28208,5771456952.1908,6090838693.27145,6217805820.77104,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484465.9388,14451901696.3878,16737071816.38,19788515590.1284,18648372553.0921,21565721044.8462,25839749199.3671,29306235285.2597,32679745048.4427,35909040925.9375,37917706497.1793,37134801555.3322,38019264794.8263,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,64718641221.216
44,"Congo, Rep.",2724853505.80336,2933222703.0334,2684323623.14372,1769365437.78801,2116003867.75536,2540697539.05773,2322719102.6909,1949481379.21951,2354772960.28296,3227927697.57921,2796704604.03812,3034250923.97726,3503723087.74483,4656974940.12721,6650001680.48544,8072305029.06514,8782703436.70188,11649857673.4436,9723299915.25312,13148396211.5955,15655383576.6515,17692911296.3044,17958720699.0868,17919224179.5609,12434829581.0287,10931247264.8116,11834406800.8818,14773806078.1348,13976661497.841,11468608530.2038,14825708810.7046,15816996654.5788
45,Colombia,49637993948.8402,58394443377.5416,66474101301.1759,81705497616.5703,92495970511.3951,97153389010.9466,106656492293.614,98486358581.1639,86278947636.962,99875074951.0278,98200641203.3892,97945812802.8882,94644969157.0987,117092416666.245,145600529626.71,161792958886.81,206229540893.231,242504150472.931,232468663073.684,286498534094.963,334966134865.3,370691143086.755,382093697077.685,381240864422.407,293492370228.844,282720100286.228,311866875135.578,334198218100.719,323031701210.765,270150956772.57,318511813576.97,343622114560.409
46,Comoros,424108769.502231,457388651.500941,452881475.071813,319189184.255639,398461797.009413,396053805.891754,364445600.525492,370106745.930146,382454989.945311,351136579.648632,378512024.077556,425964681.044378,546885222.713065,633706110.795614,653845169.168576,698431793.872776,795673153.183373,915659107.761613,905341173.9738,907978731.702123,1023086272.69622,1015843491.24635,1116224107.17116,1149587659.74502,966029599.801228,1012835492.51575,1077439756.12221,1188797449.96029,1195019531.03664,1225039195.93742,1296089479.45831,1242519407.27815
47,Cabo Verde,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979269.843942,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563090490.377368,620507387.466174,813260468.873834,924940011.836897,972241676.907662,1107571457.90614,1649621738.63689,1959620648.31578,1852334575.17521,1824751467.92957,2046817987.20109,1913081210.41411,2028910915.16446,2041930125.42979,1749857620.35329,1849789985.99572,1996741539.95088,2205099506.99994,2252177124.32402,1821565613.68613,1997866378.77119,2226862134.08787
48,Costa Rica,7196276092.461,8564041916.15275,9582868487.43217,10486787008.0926,11578594259.8675,11678424507.2457,12614602382.2012,13684255946.5765,14254866281.1537,15013629658.6521,15976174336.9721,16578820687.2881,17271760506.9483,18610594846.2083,20040642476.9817,22715540324.6944,26884700344.8406,30801744881.9502,30745714312.9905,37658614803.848,42762613699.9524,47231655431.1389,50949668840.8692,52016408951.8225,56441920821.0806,58847019609.6549,60516044657.2254,62420164991.5374,64417670521.1842,62395610760.3912,64960725734.2362,69243626028.6696
49,Caribbean small states,18028768358.6827,17750479192.5679,19223181125.8207,20203342207.8666,22268849584.0582,24288307616.5238,28419094413.8668,30366582090.5021,32208819361.665,34552588845.5197,35580943997.6093,37331464587.9012,39893014716.3283,43630425959.2462,49313767403.2814,56077496592.9948,62332145605.8804,70784637901.5853,59841390196.0856,64940854448.0727,70216293656.7862,74185116568.1063,75356800316.8823,77059089418.8565,75749012501.5871,71240254843.9807,73779107435.1508,76540797383.5589,77253744414.7289,65860096129.8181,76123490342.5381,94867024971.9129
50,Cuba,24316556025.6585,22085858243.2432,22367254864.8649,28448326756.7568,30429803651.2192,25017368700.0,25365908100.0,25736331200.0,28364615200.0,30565400000.0,31682400000.0,33590500000.0,35901200000.0,38203000000.0,42643836100.0,48835925925.9259,54262870370.3704,56302129629.6296,57481481481.4815,59562962962.963,68990000000.0,73141000000.0,77148000000.0,80656100000.0,87132800000.0,91370407863.7,96850649691.7406,100050036096.123,103427600000.0,107351800000.0,545217900000.0,633442300000.0
51,Curacao,,,,,,,,,,,,,,,,,,,,,2930092237.27161,3012836256.55523,3033568606.16651,3059406995.39666,3058779211.89831,3024690188.01683,3033433248.15988,3046364819.53197,3026124115.73275,2534327592.49914,2739594359.5908,3075180834.72417
52,Cayman Islands,,,,,,,,,,,,,,,,4200288241.15296,4466278065.11226,4585949023.79609,4281714566.85827,4156841107.36443,4186073104.29242,4291004524.0181,4405796023.18409,4562853611.41445,4708167232.66893,4909322237.28895,5166281305.12522,5530178440.71376,5941896607.58643,5647224988.89996,6028373513.49405,6844827379.30952
53,Cyprus,5770197348.48485,6912150456.32334,6590291048.29211,7425703928.57143,9933133247.08926,10011918444.1656,9547818700.11403,10248617647.0588,10497908306.3646,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500.0,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25732125693.847,27564931919.4782,24977293926.2891,23899444182.51,23155988617.4023,19842492366.5477,20952955488.0836,22870678689.4802,25523485042.6265,25947027570.4262,25227201184.2295,29482917678.8954,29250524418.0855
